"","stim","response","Emotion","correct","rt","FPNr","Reaktionstid","Korrekt"
"62","img/Rafd090_14_Caucasian_female_contemptuous_frontal.jpg",7,"Avsky","False","1.1804912090301514",1,1.18049120903015,0
"63","img/Rafd090_05_Caucasian_male_fearful_frontal.jpg       ",4,"Rädsla","True ","2.5068180561065674",1,2.50681805610657,1
"64","img/Rafd090_03_Caucasian_male_fearful_frontal.jpg       ",4,"Rädsla","True ","1.4303810596466064",1,1.43038105964661,1
"65","img/Rafd090_12_Caucasian_female_angry_frontal.jpg       ",3,"Förakt","False","13.899487018585205",1,13.8994870185852,0
"66","img/Rafd090_09_Caucasian_male_surprised_frontal.jpg     ",4,"Förvåning","False","3.0897610187530518",1,3.08976101875305,0
"67","img/Rafd090_09_Caucasian_male_contemptuous_frontal.jpg  ",7,"Avsky","False","2.9898250102996826",1,2.98982501029968,0
"68","img/Rafd090_02_Caucasian_female_angry_frontal.jpg       ",3,"Förakt","False","2.237544059753418 ",1,2.23754405975342,0
"69","img/Rafd090_04_Caucasian_female_disgusted_frontal.jpg   ",5,"Glädje","True ","4.221249103546143 ",1,4.22124910354614,1
"70","img/Rafd090_10_Caucasian_male_contemptuous_frontal.jpg  ",6,"Avsky","False","4.158305883407593 ",1,4.15830588340759,0
"71","img/Rafd090_04_Caucasian_female_contemptuous_frontal.jpg",5,"Avsky","False","46.84386491775513 ",2,46.8438649177551,0
"72","img/Rafd090_14_Caucasian_female_fearful_frontal.jpg     ",2,"Rädsla","False","13.086066007614136",2,13.0860660076141,0
"73","img/Rafd090_07_Caucasian_male_angry_frontal.jpg         ",2,"Förakt","True ","13.01681113243103 ",2,13.016811132431,1
"74","img/Rafd090_14_Caucasian_female_sad_frontal.jpg         ",7,"Sorg","False","2.7425458431243896",2,2.74254584312439,0
"75","img/Rafd090_09_Caucasian_male_contemptuous_frontal.jpg  ",5,"Avsky","False","16.431182861328125",2,16.4311828613281,0
"76","img/Rafd090_10_Caucasian_male_contemptuous_frontal.jpg  ",5,"Avsky","False","11.732275009155273",2,11.7322750091553,0
"77","img/Rafd090_14_Caucasian_female_surprised_frontal.jpg   ",7,"Förvåning","True ","1.9727599620819092",2,1.97275996208191,1
"78","img/Rafd090_02_Caucasian_female_sad_frontal.jpg         ",6,"Sorg","True ","2.3335909843444824",2,2.33359098434448,1
"79","img/Rafd090_05_Caucasian_male_happy_frontal.jpg         ",1,"Ilska","True ","2.626295804977417 ",2,2.62629580497742,1
"80","img/Rafd090_07_Caucasian_male_sad_frontal.jpg           ",7,"Sorg","False","11.601485013961792",2,11.6014850139618,0
"81","img/Rafd090_08_Caucasian_female_happy_frontal.jpg       ",1,"Ilska","True ","1.743298053741455 ",2,1.74329805374146,1
"82","img/Rafd090_03_Caucasian_male_angry_frontal.jpg         ",2,"Förakt","True ","3.4755167961120605",2,3.47551679611206,1
"83","img/Rafd090_12_Caucasian_female_sad_frontal.jpg         ",7,"Sorg","False","1.9585609436035156",2,1.95856094360352,0
"84","img/Rafd090_12_Caucasian_female_surprised_frontal.jpg   ",4,"Förvåning","False","4.516906976699829 ",2,4.51690697669983,0
"85","img/Rafd090_10_Caucasian_male_sad_frontal.jpg           ",5,"Sorg","False","4.547624111175537 ",2,4.54762411117554,0
"86","img/Rafd090_05_Caucasian_male_sad_frontal.jpg           ",7,"Sorg","False","3.8223650455474854",2,3.82236504554749,0
"87","img/Rafd090_14_Caucasian_female_angry_frontal.jpg       ",2,"Förakt","True ","1.7380409240722656",2,1.73804092407227,1
"88","img/Rafd090_10_Caucasian_male_angry_frontal.jpg         ",2,"Förakt","True ","4.1771769523620605",2,4.17717695236206,1
"89","img/Rafd090_10_Caucasian_male_fearful_frontal.jpg       ",5,"Rädsla","False","9.060569047927856 ",2,9.06056904792786,0
"90","img/Rafd090_09_Caucasian_male_sad_frontal.jpg           ",6,"Sorg","True ","2.505297899246216 ",2,2.50529789924622,1
"91","img/Rafd090_14_Caucasian_female_contemptuous_frontal.jpg",7,"Avsky","False","1.8702881336212158",2,1.87028813362122,0
"92","img/Rafd090_07_Caucasian_male_surprised_frontal.jpg     ",7,"Förvåning","True ","1.4069020748138428",2,1.40690207481384,1
"93","img/Rafd090_04_Caucasian_female_happy_frontal.jpg       ",1,"Ilska","True ","2.3791182041168213",2,2.37911820411682,1
"94","img/Rafd090_05_Caucasian_male_disgusted_frontal.jpg     ",5,"Glädje","True ","4.461409091949463 ",2,4.46140909194946,1
"95","img/Rafd090_04_Caucasian_female_disgusted_frontal.jpg   ",3,"Glädje","False","8.548280954360962 ",2,8.54828095436096,0
