"","test_round","subj","stim","response","emotion","correct","rt"
"255",1,243,"img/Rafd090_05_Caucasian_male_contemptuous_frontal.jpg",2,2,1,3.482324839
"256",1,243,"img/Rafd090_07_Caucasian_male_fearful_frontal.jpg",7,4,0,3.572090864
"257",1,243,"img/Rafd090_14_Caucasian_female_contemptuous_frontal.jpg",2,2,1,2.459908009
"258",1,243,"img/Rafd090_04_Caucasian_female_disgusted_frontal.jpg",3,3,1,2.811030865
"259",1,243,"img/Rafd090_03_Caucasian_male_fearful_frontal.jpg",4,4,1,1.803618908
"260",1,243,"img/Rafd090_10_Caucasian_male_fearful_frontal.jpg",7,4,0,3.768558025
"261",1,243,"img/Rafd090_12_Caucasian_female_disgusted_frontal.jpg",3,3,1,3.632808208
"262",1,243,"img/Rafd090_10_Caucasian_male_sad_frontal.jpg",6,6,1,1.917360783
"263",1,243,"img/Rafd090_03_Caucasian_male_happy_frontal.jpg",5,5,1,3.281702042
"264",1,243,"img/Rafd090_12_Caucasian_female_surprised_frontal.jpg",7,7,1,1.789946079
"265",1,243,"img/Rafd090_05_Caucasian_male_disgusted_frontal.jpg",3,3,1,5.323932886
"266",1,243,"img/Rafd090_08_Caucasian_female_angry_frontal.jpg",1,1,1,1.575764894
"267",1,243,"img/Rafd090_07_Caucasian_male_surprised_frontal.jpg",7,7,1,1.863182068
"268",1,243,"img/Rafd090_09_Caucasian_male_happy_frontal.jpg",5,5,1,1.602298975
"269",1,243,"img/Rafd090_09_Caucasian_male_contemptuous_frontal.jpg",2,2,1,1.553866148
"270",1,243,"img/Rafd090_14_Caucasian_female_angry_frontal.jpg",1,1,1,1.90745306
"271",1,243,"img/Rafd090_04_Caucasian_female_sad_frontal.jpg",6,6,1,1.342651844
"272",1,243,"img/Rafd090_10_Caucasian_male_happy_frontal.jpg",5,5,1,1.258514881
"273",1,243,"img/Rafd090_10_Caucasian_male_contemptuous_frontal.jpg",2,2,1,1.273406982
"274",1,243,"img/Rafd090_09_Caucasian_male_fearful_frontal.jpg",4,4,1,1.742635012
"275",1,243,"img/Rafd090_04_Caucasian_female_fearful_frontal.jpg",4,4,1,2.423816919
"276",1,243,"img/Rafd090_02_Caucasian_female_angry_frontal.jpg",1,1,1,1.522866011
"277",1,243,"img/Rafd090_02_Caucasian_female_sad_frontal.jpg",6,6,1,3.094609976
"278",1,243,"img/Rafd090_07_Caucasian_male_contemptuous_frontal.jpg",2,2,1,6.874952078
