test_round,subj,stim,response,emotion,correct,rt
1,206,img\Rafd090_03_Caucasian_male_surprised_frontal.jpg,7,7,1,0.9154334635035184
1,206,img\Rafd090_05_Caucasian_male_contemptuous_frontal.jpg,5,2,0,0.9241205757275566
1,206,img\Rafd090_08_Caucasian_female_angry_frontal.jpg,1,1,1,7.229251513868007
1,206,img\Rafd090_05_Caucasian_male_disgusted_frontal.jpg,2,3,0,4.640798025261347
1,206,img\Rafd090_07_Caucasian_male_angry_frontal.jpg,1,1,1,0.48725558187925344
1,206,img\Rafd090_07_Caucasian_male_sad_frontal.jpg,6,6,1,2.4879050362972066
1,206,img\Rafd090_12_Caucasian_female_contemptuous_frontal.jpg,5,2,0,0.7936841876622793
1,206,img\Rafd090_10_Caucasian_male_contemptuous_frontal.jpg,5,2,0,0.5202201256398666
1,206,img\Rafd090_14_Caucasian_female_contemptuous_frontal.jpg,5,2,0,0.4654270248129251
1,206,img\Rafd090_14_Caucasian_female_angry_frontal.jpg,1,1,1,1.1540342662452758
1,206,img\Rafd090_07_Caucasian_male_happy_frontal.jpg,5,5,1,1.2104098885873782
1,206,img\Rafd090_08_Caucasian_female_surprised_frontal.jpg,7,7,1,1.1916514232608506
1,206,img\Rafd090_05_Caucasian_male_sad_frontal.jpg,7,6,0,8.094008604572764
1,206,img\Rafd090_02_Caucasian_female_fearful_frontal.jpg,4,4,1,1.8485616896364263
1,206,img\Rafd090_03_Caucasian_male_disgusted_frontal.jpg,2,3,0,1.31561126445024
1,206,img\Rafd090_12_Caucasian_female_fearful_frontal.jpg,4,4,1,1.476064672379266
1,206,img\Rafd090_04_Caucasian_female_contemptuous_frontal.jpg,5,2,0,0.775320111521296
1,206,img\Rafd090_05_Caucasian_male_surprised_frontal.jpg,7,7,1,0.6631637087477884
1,206,img\Rafd090_03_Caucasian_male_contemptuous_frontal.jpg,5,2,0,1.3943814280239621
1,206,img\Rafd090_04_Caucasian_female_sad_frontal.jpg,6,6,1,0.8969800214416637
1,206,img\Rafd090_08_Caucasian_female_sad_frontal.jpg,2,6,0,4.778689951453771
1,206,img\Rafd090_09_Caucasian_male_sad_frontal.jpg,5,6,0,2.5136790367098456
1,206,img\Rafd090_10_Caucasian_male_sad_frontal.jpg,6,6,1,1.0829467791808156
