,age,anger,blank,contempt,disgust,fear,gender,happiness,overall,q1,q10,q11,q12,q13,q14,q15,q16,q17,q18,q19,q2,q20,q21,q22,q23,q24,q25,q26,q27,q3,q4,q5,q6,q7,q8,q9,sadness,surprise
63, ,50, ,30,30,90,0,100,68.5714285714286,6,5,5,4,3,5,4,3,6,2,5,7,7,5,4,4,4,5,4,5,3,4,2,4,4,4,2,90,90
64, ,20, ,80,60,40,0,100,54.28571428571429,5,5,7,1,1,7,7,4,6,4,5,7,6,6,6,6,6,7,4,4,3,6,4,4,6,4,5,20,60
65, ,20, ,30,60,20,1,90,42.8571428571429,4,5,5,3,4,5,3,5,3,5,6,3,6,6,2,4,6,6,5,5,5,3,4,5,5,3,3,20,60
66, ,70, ,70,40,30,0,100,57.1428571428571,5,6,6,3,6,5,5,4,5,3,5,6,5,5,6,6,6,6,6,4,4,5,6,4,5,3,2,10,80
67, ,70, ,40,40,90,0,100,68.5714285714286,6,2,7,2,2,6,6,1,2,6,3,6,6,3,3,3,3,3,3,3,1,6,3,6,2,2,2,50,90
68, ,50, ,50,10,80,0,100,70.0,4,4,4,1,4,4,6,2,3,3,3,6,1,3,2,2,3,3,3,3,3,4,3,6,3,3,2,100,100
69, ,50, ,90,70,70,0,100,77.1428571428571,3,7,6,2,3,7,7,2,5,6,3,2,6,5,6,6,1,7,2,4,7,7,5,6,1,7,5,60,100
70, ,30, ,80,50,70,1,70,57.1428571428571,5,5,7,3,2,5,7,7,7,5,6,6,6,7,5,7,6,7,7,7,6,3,6,7,3,5,1,10,90
71, ,80, ,80,50,20,0,90,70.0,6,2,6,1,7,6,7,2,6,6,7,6,1,7,3,6,6,7,7,5,2,7,4,6,7,2,3,70,100
72, ,50, ,40,0,80,1,100,62.8571428571429,4,2,5,2,3,4,4,1,4,3,2,1,4,5,4,4,6,6,6,7,4,2,4,3,5,4,6,70,100
73, ,70, ,70,100,90,1,100,84.28571428571429,2,3,4,3,2,5,4,3,4,6,3,5,5,4,4,4,6,5,5,5,2,6,5,4,5,5,5,60,100
74, ,50, ,70,30,80,1,100,71.4285714285714,3,4,6,2,6,6,5,2,4,5,3,5,2,6,5,5,5,5,6,5,2,4,4,3,6,2,5,70,100
75, ,100, ,100,70,60,0,100,88.57142857142858,7,3,3,3,3,6,7,4,6,2,5,7,3,6,6,6,5,6,6,6,2,6,2,6,6,4,5,90,100
76, ,10, ,0,90,60,1,100,51.428571428571395,6,1,7,1,6,6,5,4,6,2,6,6,3,7,7,6,6,7,7,7,1,6,2,6,7,2,7,10,90
77, ,60, ,40,100,80,1,90,75.71428571428571,3,3,6,2,5,4,5,5,4,4,3,6,4,7,6,5,6,7,4,6,2,6,4,5,2,4,5,60,100
78, ,60, ,100,50,70,1,100,78.5714285714286,6,3,5,2,1,7,5,1,7,3,6,7,6,5,4,4,4,5,5,4,2,6,2,7,6,3,5,70,100
79, ,70, ,100,40,90,0,90,82.8571428571429,2,3,5,6,6,6,6,7,2,4,4,4,5,6,6,7,7,3,6, ,5,4,7,5,5,4,3,90,100
80, ,30, ,90,80,50,0,100,72.8571428571429,6,2,6,1,3,5,6,3,2,2,4,6,1,6,5,6,7,7,7,7,3,6,2,4,5,2,4,60,100
